Version: Taxi Continuous/Discontinuous v4.1.8942.21304
TriggerVersion: v4
TaskType: Discontinuous
MazeName: Open Maze MD2
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 100000
TimeoutDuration: 1000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 104.3357
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: False
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 

 0 0.01671681 0.0000 -10.1059 0.0004
 0 0.03304955 0.0000 -10.1059 0.0004
 0 0.00268172 0.0000 -10.1059 0.0004
 0 0.01380643 0.0000 -10.1059 0.0004
 0 0.01704190 0.0000 -10.1059 0.0004
 0 0.01796152 0.0000 -10.1059 0.0004
 0 0.01497898 0.0000 -10.1059 0.0004
 0 0.01882166 0.0000 -10.1059 0.0004
 0 0.01491535 0.0000 -10.1059 0.0004
 84 0.01491535 -7.0700 -4.8000 0.0000
 0 0.01491535 -7.0700 -4.8000 0.0000
 0 0.02000000 -7.0700 -4.8000 0.0000
 0 0.01270943 -7.0700 -4.8000 0.0000
 0 0.01647055 -7.0700 -4.8000 0.0000
 0 0.01681087 -7.0700 -4.8000 0.0000
 0 0.01649609 -7.0700 -4.8000 0.0000
 0 0.01670695 -7.0700 -4.8000 0.0000
 0 0.01678283 -7.0700 -4.8000 0.0000
 0 0.01659849 -7.0700 -4.8000 0.0000
 0 0.01660147 -7.0700 -4.8000 0.0000
 0 0.01683426 -7.0700 -4.8000 0.0000
 0 0.01656340 -7.0700 -4.8000 0.0000
 0 0.01672870 -7.0700 -4.8000 0.0000
 0 0.01649479 -7.0700 -4.8000 0.0000
 0 0.01615473 -7.0700 -4.8000 0.0000
 0 0.01692403 -7.0700 -4.8000 0.0000
 0 0.01720111 -7.0700 -4.8000 0.0000
 0 0.01659604 -7.0700 -4.8000 0.0000
 0 0.01669610 -7.0700 -4.8000 0.0000
 0 0.01662740 -7.0700 -4.8000 0.0000
 0 0.01657017 -7.0700 -4.8000 0.0000
 0 0.01713059 -7.0700 -4.8000 0.0000
 0 0.01640256 -7.0700 -4.8000 0.0000
 0 0.01677566 -7.0700 -4.8000 0.0000
 0 0.01651165 -7.0700 -4.8000 0.0000
 0 0.01669102 -7.0700 -4.8000 0.0000
 0 0.01680498 -7.0700 -4.8000 0.0000
 0 0.01661567 -7.0700 -4.8000 0.0000
 0 0.01659987 -7.0700 -4.8000 0.0000
 0 0.01667283 -7.0700 -4.8000 0.0000
 0 0.01690600 -7.0700 -4.8000 0.0000
 0 0.01662069 -7.0700 -4.8000 0.0000
 0 0.01657802 -7.0700 -4.8000 0.0000
 0 0.01662121 -7.0700 -4.8000 0.0000
 0 0.01693202 -7.0700 -4.8000 0.0000
 0 0.01664796 -7.0700 -4.8000 0.0000
 0 0.01660154 -7.0700 -4.8000 0.0000
 0 0.01669780 -7.0700 -4.8000 0.0000
 0 0.01662493 -7.0700 -4.8000 0.0000
 0 0.01646952 -7.0700 -4.8000 0.0000
 0 0.01680159 -7.0700 -4.8000 0.0000
 0 0.01681045 -7.0700 -4.8000 0.0000
 0 0.01659272 -7.0700 -4.8000 0.0000
 0 0.01689765 -7.0700 -4.8000 0.0000
 0 0.01659764 -7.0700 -4.8000 0.0000
 0 0.01660340 -7.0700 -4.8000 0.0000
 0 0.01670880 -7.0700 -4.8000 0.0000
 0 0.01669546 -7.0700 -4.8000 0.0000
 0 0.01629748 -7.0700 -4.8000 0.0000
 0 0.01702427 -7.0700 -4.8000 0.0000
 0 0.01597927 -7.0700 -4.8000 0.0000
 13 0.01715437 -7.0700 -4.8000 0.0000
 0 0.02357258 -7.0700 -4.8000 0.0000
 0 0.00916830 -7.0700 -4.8000 0.0000
 0 0.01678309 -7.0700 -4.8000 0.0000
 0 0.01667598 -7.0700 -4.8000 0.0000
 0 0.01765176 -7.0700 -4.8000 0.0000
 0 0.01613513 -7.0700 -4.8000 0.0000
