Version:,Taxi,Continuous/Discontinuous,v4.1.8941.20741,
TriggerVersion:,v4,,,
TaskType:,Discontinuous,,,
MazeName:,Open,Maze,MD2,
NumberOfTrials:,120,,,
PosterLocations:,,,,
name:,CatPoster,,,
posterPosition:,"(-12.27,","1.5,",-1.87),
name:,HippoPoster,,,
posterPosition:,"(-2.77,","1.5,",12.26),
name:,FoxPoster,,,
posterPosition:,"(2.23,","1.5,",-1.87),
name:,RabbitPoster,,,
posterPosition:,"(2.23,","1.5,",7.63),
name:,CrocodilePoster,,,
posterPosition:,"(-12.27,","1.5,",17.13),
name:,PigPoster,,,
posterPosition:,"(-12.27,","1.5,",7.63),
CompletionWindow:,100000,,,
TimeoutDuration:,1000,,,
IntersessionInterval:,1000,,,
RewardTime:,1000,,,
RewardViewCriteria:,45,,,
RotationSpeed:,104.8774,,,
MovementSpeed:,5,,,
JoystickDeadzone:,0,,,
AngleRestrictionAmount:,0,,,
RequiredDistance:,1,,,
ProximityDistance:,1,,,
DirectionErrorDistance:,0.5,,,
isJoystickEnabled:,FALSE,,,
isReverseEnabled:,TRUE,,,
isForwardEnabled:,TRUE,,,
isRightEnabled:,TRUE,,,
isLeftEnabled:,TRUE,,,
isYInverted:,FALSE,,,
isXInverted:,FALSE,,,
RestartOnTrialFail:,FALSE,,,
ResetPositionOnTrial:,TRUE,,,
FaceRandomDirectionOnStart:,FALSE,,,
MultipleWaypoints:,FALSE,,,
DisableInterSessionBlackout:,TRUE,,,
ResetPositionOnSession:,FALSE,,,
EnableDirectionError:,FALSE,,,
DisableHint:,FALSE,,,
EnableRewardAreaError:,FALSE,,,
RewardAreaErrorTime:,-1,,,
---,Start,of,Dataset,---
tracking_stamp,time_stamp,x,y,angle
0,0.01659498,1.8623,7.1561,31.4827
0,0.01628009,1.8623,7.1561,31.4827
0,0.01737437,1.8623,7.1561,31.4827
84,0.01737437,1.8623,7.1561,31.4827
11,0.02,1.8623,7.1561,31.4827
0,0.01678653,1.8623,7.1561,31.4827
0,0.01662383,1.8623,7.1561,31.4827
0,0.01647397,1.8623,7.1561,31.4827
0,0.01647402,1.8623,7.1561,31.4827
0,0.01683396,1.8623,7.1561,31.4827
0,0.01673509,1.8623,7.1561,31.4827
0,0.01655362,1.8623,7.1561,31.4827
0,0.01690887,1.8623,7.1561,31.4827
0,0.0164993,1.8623,7.1561,31.4827
0,0.0165811,1.8623,7.1561,31.4827
0,0.01639781,1.8623,7.1561,31.4827
0,0.01688794,1.8623,7.1561,31.4827
0,0.01691326,1.8623,7.1561,31.4827
0,0.01644214,1.8623,7.1561,31.4827
0,0.01634312,1.8623,7.1561,31.4827
0,0.0171147,1.8623,7.1561,31.4827
0,0.01683062,1.8623,7.1561,31.4827
0,0.01679137,1.8623,7.1561,31.4827
0,0.01639554,1.8623,7.1561,31.4827
0,0.01690374,1.8623,7.1561,31.4827
0,0.0163409,1.8623,7.1561,31.4827
0,0.01696044,1.8623,7.1561,31.4827
0,0.01679359,1.8623,7.1561,31.4827
0,0.01649774,1.8623,7.1561,31.4827
0,0.01662233,1.8623,7.1561,31.4827
0,0.0167858,1.8623,7.1561,31.4827
0,0.01681146,1.8623,7.1561,31.4827
0,0.01648631,1.8623,7.1561,31.4827
0,0.0167932,1.8623,7.1561,31.4827
0,0.01660434,1.8623,7.1561,31.4827
0,0.01680196,1.8623,7.1561,31.4827
0,0.01652217,1.8623,7.1561,31.4827
0,0.01677355,1.8623,7.1561,31.4827
0,0.01657842,1.8623,7.1561,31.4827
0,0.01672594,1.8623,7.1561,31.4827
0,0.01659583,1.8623,7.1561,31.4827
