Version: Taxi Continuous/Discontinuous v4.1.8942.21304
TriggerVersion: v4
TaskType: Continuous
MazeName: Open Maze MD2
NumberOfTrials: 120
PosterLocations: 
CompletionWindow: 100000
TimeoutDuration: 1000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 102.8615
MovementSpeed: 7.501485
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: False
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: False
ResetPositionOnTrial: False
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 

 0 0.01646518 0.0000 -10.1059 0.0004
 0 0.03085335 0.0000 -10.1059 0.0004
 0 0.00236277 0.0000 -10.1059 0.0004
 0 0.01838910 0.0000 -10.1059 0.0004
 0 0.01513992 0.0000 -10.1059 0.0004
 0 0.01730690 0.0000 -10.1059 0.0004
 0 0.01661550 0.0000 -10.1059 0.0004
 0 0.01598109 0.0000 -10.1059 0.0004
 84 0.01598109 -7.0700 -4.8000 0.0000
 0 0.01598109 -7.0700 -4.8000 0.0000
 0 0.02000000 -7.0700 -4.8000 0.0000
 0 0.01464587 -7.0700 -4.8000 0.0000
 0 0.01740349 -7.0700 -4.8000 0.0000
 0 0.01661529 -7.0700 -4.8000 0.0000
 0 0.01674379 -7.0700 -4.8000 0.0000
 0 0.01637371 -7.0700 -4.8000 0.0000
 0 0.01710919 -7.0700 -4.8000 0.0000
 0 0.01637630 -7.0700 -4.8000 0.0000
 0 0.01680849 -7.0700 -4.8000 0.0000
 0 0.01644298 -7.0700 -4.8000 0.0000
 0 0.01662199 -7.0700 -4.8000 0.0000
 0 0.01689802 -7.0700 -4.8000 0.0000
 0 0.01654387 -7.0700 -4.8000 0.0000
 0 0.01644755 -7.0700 -4.8000 0.0000
 0 0.01708564 -7.0700 -4.8000 0.0000
 0 0.01656245 -7.0700 -4.8000 0.0000
 0 0.01690128 -7.0700 -4.8000 0.0000
 0 0.01646950 -7.0700 -4.8000 0.0000
 0 0.01681618 -7.0700 -4.8000 0.0000
 0 0.01676625 -7.0700 -4.8000 0.0000
 0 0.01672432 -7.0700 -4.8000 0.0000
 0 0.01639923 -7.0700 -4.8000 0.0000
 0 0.01678459 -7.0700 -4.8000 0.0000
 0 0.01665424 -7.0700 -4.8000 0.0000
 0 0.01654131 -7.0700 -4.8000 0.0000
 0 0.01670243 -7.0700 -4.8000 0.0000
 0 0.01669649 -7.0700 -4.8000 0.0000
 0 0.01659988 -7.0700 -4.8000 0.0000
 0 0.01670590 -7.0700 -4.8000 0.0000
 0 0.01680790 -7.0700 -4.8000 0.0000
 0 0.01672149 -7.0700 -4.8000 0.0000
 0 0.01705517 -7.0700 -4.8000 0.0000
 0 0.01620739 -7.0700 -4.8000 0.0000
 0 0.03331593 -7.0700 -4.8000 0.0000
 0 0.00184796 -7.0700 -4.8000 0.0000
 0 0.03156831 -7.0700 -4.8000 0.0000
 0 0.01667303 -7.0700 -4.8000 0.0000
 0 0.01679765 -7.0700 -4.8000 0.0000
 0 0.01672114 -7.0700 -4.8000 0.0000
 0 0.01668793 -7.0700 -4.8000 0.0000
 0 0.01624808 -7.0700 -4.8000 0.0000
 0 0.01693870 -7.0700 -4.8000 0.0000
 0 0.01661189 -7.0700 -4.8000 0.0000
 0 0.01680257 -7.0700 -4.8000 0.0000
 0 0.01679496 -7.0700 -4.8000 0.0000
 0 0.01647123 -7.0700 -4.8000 0.0000
 0 0.01662382 -7.0700 -4.8000 0.0000
 0 0.01681126 -7.0700 -4.8000 0.0000
 0 0.01671361 -7.0700 -4.8000 0.0000
 0 0.01661227 -7.0700 -4.8000 0.0000
 0 0.01666985 -7.0700 -4.8000 0.0000
 0 0.01669942 -7.0700 -4.8000 0.0000
 14 0.01658477 -7.0700 -4.8000 0.0000
 0 0.02069262 -7.0700 -4.8000 0.0000
 0 0.01274716 -7.0700 -4.8000 0.0000
 0 0.01661795 -7.0700 -4.8000 0.0000
 0 0.01669321 -7.0700 -4.8000 0.0000
 0 0.01663260 -7.0700 -4.8000 0.0000
 0 0.01662463 -7.0700 -4.8000 0.0000
 0 0.01676482 -7.0700 -4.8000 0.0000
 0 0.01684040 -7.0700 -4.8000 0.0000
 0 0.01662543 -7.0700 -4.8000 0.0000
 0 0.01643030 -7.0700 -4.8000 0.0000
 0 0.01675464 -7.0700 -4.8000 0.0000
 0 0.01668902 -7.0700 -4.8000 0.0000
 0 0.01671306 -7.0700 -4.8000 0.0000
 0 0.01671500 -7.0700 -4.8000 0.0000
 0 0.01669716 -7.0700 -4.8000 0.0000
 0 0.01665977 -7.0700 -4.8000 0.0000
 0 0.01668386 -7.0700 -4.8000 0.0000
 0 0.01659792 -7.0700 -4.8000 0.0000
 0 0.01674636 -7.0700 -4.8000 0.0000
 0 0.01664412 -7.0700 -4.8000 0.0000
 0 0.01684388 -7.0700 -4.8000 0.0000
 0 0.01653604 -7.0700 -4.8000 0.0000
 0 0.01672755 -7.0700 -4.8000 0.0000
 0 0.01668017 -7.0700 -4.8000 0.0000
 0 0.01667812 -7.0700 -4.8000 0.0000
 0 0.01656976 -7.0700 -4.8000 0.0000
 0 0.01652014 -7.0700 -4.8000 0.0000
 0 0.01698543 -7.0700 -4.8000 0.0000
 0 0.01651271 -7.0700 -4.8000 0.0000
 0 0.01678818 -7.0700 -4.8000 0.0000
 0 0.01670854 -7.0700 -4.8000 0.0000
 0 0.01586288 -7.0700 -4.8000 0.0000
 0 0.01700165 -7.0700 -4.8000 0.0000
 0 0.01669514 -7.0700 -4.8000 0.0000
 0 0.01686713 -7.0700 -4.8000 0.0000
 0 0.01691878 -7.0700 -4.8000 0.0000
 0 0.01675663 -7.0700 -4.8000 0.0000
 0 0.01658880 -7.0700 -4.8000 0.0000
 0 0.01661481 -7.0700 -4.8000 0.0000
 0 0.01681695 -7.0700 -4.8000 0.0000
 0 0.01669889 -7.0700 -4.8000 0.0000
 0 0.01660577 -7.0700 -4.8000 0.0000
 0 0.01679221 -7.0700 -4.8000 0.0000
 0 0.01654349 -7.0700 -4.8000 0.0000
 0 0.01662073 -7.0700 -4.8000 0.0000
 0 0.01677217 -7.0700 -4.8000 0.0000
 0 0.01641618 -7.0700 -4.8000 0.0000
 0 0.01696460 -7.0700 -4.8000 0.0000
 0 0.01651705 -7.0700 -4.8000 0.0000
 0 0.01685427 -7.0700 -4.8000 0.0000
 0 0.01673085 -7.0700 -4.8000 0.0000
 0 0.01664871 -7.0700 -4.8000 0.0000
 0 0.01666717 -7.0700 -4.8000 0.0000
 0 0.01669751 -7.0700 -4.8000 0.0000
 0 0.01666714 -7.0700 -4.8000 0.0000
 0 0.01676959 -7.0700 -4.8000 0.0000
 0 0.01661447 -7.0700 -4.8000 0.0000
 0 0.01662408 -7.0700 -4.8000 0.0000
 0 0.01671661 -7.0700 -4.8000 0.0000
 0 0.01674437 -7.0700 -4.8000 0.0000
 0 0.01664246 -7.0700 -4.8000 0.0000
 0 0.01652515 -7.0700 -4.8000 0.0000
 0 0.01682347 -7.0700 -4.8000 0.0000
 0 0.01681176 -7.0700 -4.8000 0.0000
 0 0.01640734 -7.0700 -4.8000 0.0000
 0 0.01675885 -7.0700 -4.8000 0.0000
 0 0.01660207 -7.0700 -4.8000 0.0000
 0 0.01683748 -7.0700 -4.8000 0.0000
 0 0.01656825 -7.0700 -4.8000 0.0000
 0 0.01665490 -7.0700 -4.8000 0.0000
 0 0.01671941 -7.0700 -4.8000 0.0000
 0 0.01668986 -7.0700 -4.8000 0.0000
 0 0.01663194 -7.0700 -4.8000 0.0000
 0 0.01679104 -7.0700 -4.8000 0.0000
