Version:,,,,,,
TriggerVersion:,v4,,,,,
TaskType:,Continuous,,,,,
MazeName:,Open,Maze,MD2,,,
NumberOfTrials:,301,,,,,
PosterLocations:,,,,,,
name:,CatPoster,,,,,
posterPosition:,"(-12.27,","1.5,",-1.87),,,
name:,RabbitPoster,,,,,
posterPosition:,"(2.23,","1.5,",7.63),,,
name:,FoxPoster,,,,,
posterPosition:,"(2.23,","1.5,",-1.87),,,
name:,HippoPoster,,,,,
posterPosition:,"(-2.77,","1.5,",12.26),,,
name:,CrocodilePoster,,,,,
posterPosition:,"(-12.27,","1.5,",17.13),,,
name:,PigPoster,,,,,
posterPosition:,"(-12.27,","1.5,",7.63),,,
CompletionWindow:,100,,,,,
TimeoutDuration:,100,,,,,
IntersessionInterval:,100,,,,,
RewardTime:,1000,,,,,
RewardViewCriteria:,45,,,,,
RotationSpeed:,97.34886,,,,,
MovementSpeed:,9.097321,,,,,
JoystickDeadzone:,0,,,,,
AngleRestrictionAmount:,0,,,,,
RequiredDistance:,1,,,,,
ProximityDistance:,1,,,,,
DirectionErrorDistance:,0.5,,,,,
isJoystickEnabled:,FALSE,,,,,
isReverseEnabled:,TRUE,,,,,
isForwardEnabled:,TRUE,,,,,
isRightEnabled:,TRUE,,,,,
isLeftEnabled:,TRUE,,,,,
isYInverted:,FALSE,,,,,
isXInverted:,FALSE,,,,,
RestartOnTrialFail:,FALSE,,,,,
ResetPositionOnTrial:,FALSE,,,,,
FaceRandomDirectionOnStart:,FALSE,,,,,
MultipleWaypoints:,FALSE,,,,,
DisableInterSessionBlackout:,TRUE,,,,,
ResetPositionOnSession:,FALSE,,,,,
EnableDirectionError:,FALSE,,,,,
DisableHint:,FALSE,,,,,
EnableRewardAreaError:,FALSE,,,,,
RewardAreaErrorTime:,-1,,,,,
---,Start,of,Dataset,---,,
,,,,,,
0,0.03349177,-7.07,-4.8,4.5134,,
0,0.03262466,-7.07,-4.8,4.5134,,
0,0.04846733,-7.07,-4.8,4.5134,,
84,0.04846733,-7.07,-4.8,0,,
0,0.04846733,-7.07,-4.8,0,0,0
0,0.02,-7.07,-4.8,0,0,0
0,0.00584754,-7.07,-4.8,0,0,0
0,0.05420015,-7.07,-4.8,0,0,0
0,0.03308324,-7.07,-4.8,0,0,0
0,0.01267288,-7.07,-4.8,0,0,0
0,0.03291585,-7.07,-4.8,0,0,0
0,0.0370347,-7.07,-4.8,0,0,0
0,0.04582859,-7.07,-4.8,0,0,0
0,0.03795145,-7.07,-4.8,0,0,0
0,0.03233699,-7.07,-4.8,0,0,0
0,0.01383258,-7.07,-4.8,0,0,0
